TestDataID1,TestDataID2,TestDataID3,Depth,Iterations,LearningRate,TrainR2,TestR2,Top1Feature,Top2Feature,Top3Feature,Top4Feature,Top5Feature,Top6Feature,Top7Feature,Top8Feature,Top9Feature,Top10Feature
0,4,24,3,100,0.1,0.994095517,0.565705231,HOMO,MolWt,HeavyAtomMolWt,SpAbs_A,CT100,MaxAbsPartialCharge,Eads100,MinPartialCharge,LabuteASA,ATS0dv
0,4,25,3,300,0.01,0.770487249,0.072681097,ATS0dv,HOMO,LUMO,MolWt,Chi0,LabuteASA,NumRotatableBonds,BalabanJ,Kappa1,HeavyAtomMolWt
0,4,26,3,100,0.05,0.902398566,0.640080214,HOMO,LUMO,CT100,NumRotatableBonds,LabuteASA,ATS0dv,HeavyAtomMolWt,TPSA,MaxAbsPartialCharge,Eads100
0,4,27,3,300,0.05,0.999197171,-0.453912599,ATS0dv,HOMO,CT100,HeavyAtomMolWt,Kappa1,MaxAbsPartialCharge,LabuteASA,NumRotatableBonds,MolWt,LUMO
0,4,28,3,300,0.01,0.780215573,0.323046276,HOMO,ATS0dv,LUMO,Chi0,MolWt,Kappa1,CT100,LabuteASA,NumRotatableBonds,BalabanJ
0,4,29,3,300,0.01,0.77766396,0.245952906,HOMO,ATS0dv,LUMO,MolWt,CT100,LabuteASA,Kappa1,MaxAbsPartialCharge,Chi0,SpAbs_A
0,5,6,3,100,0.1,0.99494852,0.78981752,HOMO,CT100,MaxAbsPartialCharge,MolWt,LogEE_A,HeavyAtomMolWt,NumRotatableBonds,ATS0dv,LUMO,TPSA
0,5,7,3,100,0.1,0.994164598,0.745801586,HOMO,SpAbs_A,MaxAbsPartialCharge,HeavyAtomMolWt,LUMO,CT100,TPSA,LabuteASA,MolWt,ATS0dv
0,5,8,3,100,0.1,0.994108315,0.786942655,HOMO,MolWt,CT100,ATS0dv,HeavyAtomMolWt,SpAbs_A,NumRotatableBonds,LUMO,LabuteASA,MaxAbsPartialCharge
0,5,9,7,100,0.1,0.999857917,0.475934399,HOMO,CT100,LUMO,ATS0dv,FractionCSP3,Kappa1,Chi0,MaxAbsPartialCharge,Eads100,SpAbs_A
0,5,10,3,100,0.05,0.905520867,0.707212435,HOMO,ATS0dv,MolWt,LabuteASA,MaxAbsPartialCharge,CT100,LogEE_A,NumRotatableBonds,HeavyAtomMolWt,Eads100
0,5,11,3,100,0.1,0.994810494,0.726531307,HOMO,SpAbs_A,HeavyAtomMolWt,MolWt,MaxAbsPartialCharge,ATS0dv,CT100,LUMO,LabuteASA,NumRotatableBonds
0,5,12,3,100,0.1,0.993595562,0.630470011,HOMO,HeavyAtomMolWt,MolWt,SpAbs_A,NumRotatableBonds,MaxAbsPartialCharge,ATS0dv,CT100,Eads100,LogEE_A
0,5,13,3,200,0.05,0.994243419,0.721400142,HOMO,ATS0dv,LUMO,MolWt,CT100,HeavyAtomMolWt,SpAbs_A,NumRotatableBonds,Eads100,TPSA
0,5,14,3,100,0.05,0.906606617,0.611928647,HOMO,NumRotatableBonds,HeavyAtomMolWt,CT100,LUMO,MolWt,ATS0dv,LabuteASA,SpAbs_A,MaxAbsPartialCharge
0,5,15,3,100,0.05,0.902987846,0.818020831,HOMO,ATS0dv,LUMO,CT100,LogEE_A,NumRotatableBonds,MaxAbsPartialCharge,Chi0,TPSA,MolWt
0,5,16,3,100,0.1,0.993278312,0.783401025,HOMO,HeavyAtomMolWt,MolWt,MaxAbsPartialCharge,CT100,ATS0dv,LUMO,NumRotatableBonds,SpAbs_A,LogEE_A
0,5,17,3,100,0.1,0.993585203,0.73039041,HOMO,SpAbs_A,HeavyAtomMolWt,NumRotatableBonds,MaxAbsPartialCharge,ATS0dv,CT100,MinPartialCharge,LUMO,TPSA
0,5,18,3,100,0.05,0.907060529,0.779306011,ATS0dv,HOMO,HeavyAtomMolWt,CT100,NumRotatableBonds,MolWt,MaxAbsPartialCharge,Chi0,LogEE_A,LabuteASA
0,5,19,3,100,0.05,0.909021105,0.561281271,HOMO,NumRotatableBonds,LUMO,HeavyAtomMolWt,ATS0dv,CT100,MaxAbsPartialCharge,LabuteASA,MolWt,LogEE_A
0,5,20,5,300,0.1,1,-0.646022793,HOMO,LUMO,CT100,Kappa1,Eads100,PEOE_VSA1,NumRotatableBonds,FractionCSP3,ATS0dv,MinPartialCharge
0,5,21,3,100,0.1,0.994789042,0.412209568,HOMO,ATS0dv,MaxAbsPartialCharge,FractionCSP3,LUMO,TPSA,CT100,Eads100,HeavyAtomMolWt,MinPartialCharge
0,5,22,3,100,0.05,0.91695419,0.796284573,HOMO,ATS0dv,HeavyAtomMolWt,MolWt,CT100,LogEE_A,LUMO,Chi0,MaxAbsPartialCharge,TPSA
0,5,23,3,100,0.05,0.908396807,0.741814261,HOMO,ATS0dv,CT100,MaxAbsPartialCharge,LabuteASA,Eads100,NumRotatableBonds,HeavyAtomMolWt,LogEE_A,Chi0
0,5,24,3,300,0.1,0.999997668,0.764703094,HOMO,HeavyAtomMolWt,MolWt,CT100,LUMO,MaxAbsPartialCharge,Eads100,ATS0dv,MinPartialCharge,LabuteASA
0,5,25,7,200,0.1,0.999999976,0.539773705,HOMO,CT100,LUMO,ATS0dv,SpAbs_A,MolWt,HeavyAtomMolWt,LabuteASA,MaxAbsPartialCharge,Eads100
0,5,26,3,200,0.05,0.994328289,0.795044043,HOMO,ATS0dv,MolWt,CT100,HeavyAtomMolWt,MaxAbsPartialCharge,BalabanJ,LUMO,Chi0,TPSA
0,5,27,5,200,0.1,0.999999554,0.377371438,HOMO,LabuteASA,FractionCSP3,LUMO,ATS0dv,NumRotatableBonds,MaxAbsPartialCharge,MinPartialCharge,Kappa1,LogEE_A
0,5,28,3,100,0.05,0.910619107,0.821887809,HOMO,MolWt,ATS0dv,HeavyAtomMolWt,CT100,MaxAbsPartialCharge,NumRotatableBonds,LabuteASA,TPSA,LUMO
0,5,29,3,200,0.05,0.994488392,0.764994896,HOMO,ATS0dv,MolWt,CT100,MaxAbsPartialCharge,HeavyAtomMolWt,NumRotatableBonds,Eads100,LogEE_A,LUMO
0,6,7,3,100,0.05,0.911697322,0.60530843,ATS0dv,HOMO,CT100,Kappa1,MolWt,TPSA,MaxAbsPartialCharge,LabuteASA,LUMO,SpAbs_A
0,6,8,3,200,0.05,0.993668936,0.371231282,ATS0dv,HOMO,CT100,LUMO,MolWt,LabuteASA,MaxAbsPartialCharge,NumRotatableBonds,Kappa1,Eads100
0,6,9,7,100,0.1,0.999872317,0.210073531,LUMO,LogEE_A,HeavyAtomMolWt,NumRotatableBonds,Chi0,ATS0dv,HOMO,CT100,BalabanJ,MolWt
0,6,10,3,100,0.1,0.992968248,0.607492415,HOMO,MolWt,ATS0dv,CT100,TPSA,HeavyAtomMolWt,SpAbs_A,NumRotatableBonds,Kappa1,Eads100
0,6,11,3,300,0.05,0.999281769,0.64714394,HOMO,ATS0dv,MolWt,CT100,Kappa1,MaxAbsPartialCharge,NumRotatableBonds,LUMO,LogEE_A,HeavyAtomMolWt
0,6,12,3,100,0.05,0.917511336,-0.12599901,HOMO,ATS0dv,NumRotatableBonds,LUMO,HeavyAtomMolWt,CT100,LabuteASA,MolWt,MinPartialCharge,TPSA
